key,原文,译文
00008015-b344-4a49-8484-6d614de738ff,His dismay is painted in broad strokes on his aging face.,
0001b3f7-0061-4130-a98e-b36ea66d3cb7,Godwif sneers.,
000738dc-64f7-4eec-84b2-0fc8ec8a9026,"Sounds like you've grasped the general idea. What shall we do with you, Leofric?",
0008ffc0-5986-4f0c-b9fa-707b7a3d05ee,"You made a mistake, but it's all right. We're here now. I forgive you.",
000bf793-7d44-490d-ab78-1d40181fe725,A murmur rises among the crowd.,
000fe0d9-ac29-4700-a720-ec0146a9ef37,"For all my flippancy, I must admit this is pretty much what I expected. Last summer we would have put up a much better fight, but the winter has taken its toll on us.",
001069bc-7c63-4aa5-82f7-037ec713575b,"I'm trying to redeem the boy, you daft bastard. If we just kill him his soul will be lost!",
001509d8-cf8e-43f7-bf8c-dd0318fd4a28,"You rest the back of your hand on her forehead, feeling her fever against your skin - it's not the worst fever you've ever felt, but if it's lasted for several weeks, it's no small wonder she's so tired.",
001a7673-2896-4067-a8a0-87e7931806d6,You are our thegn. We follow you as long as we live.,
001ce78f-6972-4ff6-b8de-84b03151ac89,I hope he didn't suffer.,
001d9736-a150-44e9-9d3a-2c9cbc535e56,I'll be back if I need anything.,
001e6aa0-a909-4b55-b034-fb0ddff8037b,"What, are you too important to announce yourself when you break into an old man's home?",
00215e11-d654-423e-b060-92c4640224e8,"Wait, [i]she[/i] set the fire?",
0023f479-d989-4251-b849-45ffea1a4391,The man is holding the broomstick in front of himself like he's trying to hide behind it.,
002b101a-66aa-4e39-910a-11d8dd496d7e,I'm afraid we'll have to. Hopefully the spirits will forgive us.,
002f426e-8826-42b4-ba9e-869fad9cd8be,Nefja isn't receptive to that sort of thing.,
0035e644-d774-4f8f-931e-4cc5c71a6b82,"Thank you, your highness. We're always happy to serve the Jarl.",
003a2aa1-d9e3-4ee5-a1db-c856a9e64585,"Heads lowered, the three thralls appear to accept their new fate. They pick up only what they can carry and set off up towards your camp.",
003bd46e-0761-4702-a41f-8eb10141c4d4,Howling Witch,
003df4f5-f2dd-47a8-8e85-3f822f998e28,"These men are all a bit worse for wear, but they seem to have a lot of armed combat experience.",
003e861d-c004-4203-a245-2e32de543b42,"Your crew rows as fast as they can, but the other ship outpaces [Shipname] by a large margin.",
0040ca16-40c3-44a1-9c89-48a3d027c69a,"He releases his grip, eyes searching your face.",
00457eff-5346-4aaf-ab6d-8a9fe7766c91,She gives you a crooked smile.,
0046532d-cd0c-4cea-9ee8-a6446024ef73,"What did you expect? No matter what we do for these people, we'll never be more than filthy heathens to them.",
0048b2d9-0485-44e0-95c8-3462e0907c06,Well... I suppose that's that then. I thank you for looking into it all the same.,
00521325-c64c-4c31-9f30-7adb40287529,{Pull him out.},
0054b8f3-84d7-4d43-b5d4-6609ddd51a85,King Osred's terms are simple. Die!,
005cb39c-45a0-4709-9524-0fabb3cb0b75,Damn right it does! Let's kick these Northumbrian weak-pissers out of here!,
0062c17b-2225-43f2-8f02-5bdb04aedc9b,"The gate will not withstand a direct attack, but breaking it down will surely alert the village. Do you wish to destroy the gate?",
00656f58-7dd7-4a82-b645-321b4fb904aa,"The shieldmaiden Vigundr was killed in Frisia, wielding this winged spear against unknown attackers. Her husband sold it to you in Ribe so he could afford the journey home.",
006bd9be-f08c-448c-a720-b7693db43e6b,"No. Of course I can't. Of course you're right, I only... we've searched for a place for so long.",
006d35ed-ffcf-4898-8d97-88857189c84c,"That whole thing with me being her ""elfin knight""? What title did she grant you, her Faerie Princess? She's obsessed with these whimsical tales.",
0074764f-1cd6-4a54-b550-cc8fd2d59857,Sounds good - lead the way.,
007c306c-3cf3-44a1-a1c0-a1cfa1a9daef,"When the fighting is over and the last of Osred's forces scatter, she is nowhere to be seen among the dead.",
00834e82-56c7-4bbf-890c-8d81f0b14366,"I'm just glad you're both alive and well. One feud is about as much as this clan can handle, I think.",
008f80ee-0e7a-4709-89e6-865c3c7ad09d,What is the purpose of having a fortress if anyone can enter?!,
009b3a36-d2c4-43d5-886c-bc5f198cec9c,Astridr holds up a hand and makes a pause to steel herself.,
009ba468-43ee-494a-ad03-b4a13952a874,Why?,
009d0d5d-17fd-4fe2-be49-46c7e9152f8c,"""See, where they sit beneath the hall-gable, protecting themselves with the pillar in front?"" The pillar split at the giant's gaze, and the pillar-beam broke in two.",
009dd35e-3680-4d1d-97aa-efe26c527965,You had your chance to get out of this alive. Now you wont.,
00a5a2bc-2163-4ca2-b508-9c3f91b41f13,Eydis' Clothes,
00a66a33-e7be-4624-8cb3-9355d7558c80,"We will sweep through the village like a plague, leaving none alive.",
00ac6c2b-951e-4cc3-8a4b-29ed7ac92fe7,"All right, we'll take the deal. We figure: if this is some trick, we're good at running. We'll find our way back here just fine.",
00b43f51-4d97-4cd8-ab83-70ea8dd22286,Oh yes! I'm glad you were listening!,
00b6bc38-42c8-401b-baed-ade2d3f5c833,"I don't wish to impose upon a [Player:man/woman] of your standing, but you fascinate me. Will you consider lending me your aid?",
00b7c398-6dc4-422b-b93f-bb2cb1ea3278,"Go on then, have your fun. I'll go and rendezvous with Skallagrimr.",
00bbd702-3b7a-4128-91b4-e9ce8038141c,"That behaviour does you no credit. No credit to your clan, either!",
00c741c1-e63f-4f41-9cf6-582b638d9593,You'd better not.,
00cf1c70-02a9-4b60-81a2-60fb9f166e95,It will be a trifling matter for one such as you.,
00d0b054-843f-4d68-9ca6-9382f8a18a29,Nefja takes a deep breath.,
00d58e9e-ce05-4ff0-a544-d4eb34d3b3f7,Let's see what happens. It's good to know you've got my back.,
00dc2b31-f9da-4272-8152-b50ded0cd5a6,The young witch shrugs and turns her attention back to her food.,
00dd1161-37f5-4175-9bd8-80b9d1e84f63,"Indeed. Well, that's... hm.",
00de79f3-690f-48d2-b94e-2b24e5706317,"I have a special place in my heart for converts. Yours was a soul that once hung in a kind of limbo, but now you are saved.",
00dfa35e-da60-4287-97f9-e38fbf21db94,We ought to go back at once! It's impossible to say what might befall us on the way.,
00dfde23-3edf-41d8-9131-2222e9e45a8f,"He's a pale fellow. No wonder, when him and his didn't want to eat or drink.",
00f36d21-55e8-40b4-a5b2-7c0b273848b2,"[i]No.[/i] No I will not. Christians or nae, you're strangers to me.",
00f5c326-63e6-4482-8a56-ba4a6cd98a60,"You can put that [Player:weapon] away, love. An old woman is no threat to your kind.",
00f89c0f-2c7e-466b-9ad0-6108e2e0f1bc,"Keep that up, you might actually hurt someone!",
00fdd1d6-8dc5-4e7f-b905-e2e0fd554f56,We're looking for your druid. We seek an audience with him.,
010173ca-1078-4692-bba5-97e989abaca6,"So the other day, down at the docks--",
01047e75-d88d-4a3f-bd78-644e50983be5,"You both drink again, and the poison induces another coughing fit in Ingimarr. After he recovers, he sways slightly, eyes his cup suspiciously, and then finally understands what you've done.",
01065c1d-bc2c-43cf-b05d-d90c2d3772e6,"The assholes in the tunnels had us build a giant scaffold, but never paid us. We're not exactly equipped to take them on, so to speak, and we don't really have the means to leave, as we were relying on their payment to get us out of here.",
010aaaae-3852-4707-9fd9-2e6361008315,You'd better not try to stop me...,
01183ccb-d2b0-4460-bd41-090ef1fc5fcf,This is all the proof we need that Saint Remus is the one we should [i]really[/i] worship!,
0118a5cc-101f-4b3f-ab89-8f55e0c5608b,Just be careful. It's dangerous over there.,
011a917a-e81f-493b-a15d-51ad6583c282,"I have my doubts that we would even still be alive without Eydis here. I mean I'm not even talking about the cooking, but just her general aura of calm and common sense.",
011f9116-23bf-4b33-a220-19330a6731e2,She certainly gave me that impression.,
01221faa-4d7e-4b53-a815-28313ece421f,I'll deal with it. Maybe lay off the ale.,
0124ba8f-9008-4a11-a306-e472fba86909,You little shit! Did you see that kid?! She just nicked your stuff!,
012d42db-1b40-4205-a46d-4878a4df452b,Nefja grunts from the side.,
012dde18-d479-4c67-b058-9924433225a5,"Without warriors to support us, our alliance will seem hollow - toothless.",
012e92f1-1237-4737-8865-5755ef672ec8,Found anything?,
