﻿原文,译文
沮丧之情，如粗笔重墨般涂抹在他那张日渐苍老的脸上。,
戈德威夫嗤笑一声。,
看来你总算摸到点门道了。我们该拿你如何是好，利奥弗里克？,
你确实犯了大错，但无妨。我们都在这儿了。我原谅你。,
人群里泛起一阵窃窃私语。,
别看我平日里没个正形，但说句实话，这局面我早就料到了。若是去岁夏天，我们或许还能狠狠干上一仗，可这个冬天却让我们元气大伤。,
我这是在救这孩子的灵魂，你这蠢货！若是就这么一刀杀了，他的灵魂可就万劫不复了！,
你用手背贴上她的额头，那股烧热径直透到你的皮肤上来——这还不算你见过最凶险的高烧，但若已缠缠绵绵烧了数周，也难怪她会累成这副模样。,
你是我们的领主。只要一息尚存，我们便追随于你。,
但愿他没遭什么罪。,
若还有什么需要，我自会再来。,
怎么，你闯进一个老人屋里，竟尊贵到连招呼都不屑打一声吗？,
等等，是她放的火？,
那男人将扫帚柄直直挡在身前，仿佛想借着那根细棍子把自己藏起来似的。,
恐怕我们别无选择。但愿众灵能宽宥我们。,
内菲娅对那类事情可提不起半分兴致。,
多谢殿下。能为雅尔效劳，我们向来心甘情愿。,
三名奴仆低垂着脑袋，似乎默默接受了这新定的命运。他们只拾起些随身能带的物件，便动身朝你的营地走去。,
嚎叫女巫,
这群人一个个狼狈不堪，但看那模样，显然都是身经百战的老手。,
你的船员们拼尽全力划桨，但那艘船仍以一个巨大的优势，将[船名]远远甩开。,
他松开了手，目光在你脸上来回探询。,
她朝你挤出个歪歪扭扭的笑容。,
你还能指望什么？不论我们为这些人做牛做马，在他们眼里，我们永远都只是肮脏下贱的异教徒。,
也罢……看来这事儿也就到此为止了。不管怎么说，还是多谢你费心去查。,
{把他拉出来。},
奥瑟德国王的条件再简单不过——领死！,
说得太他娘对了！快把这群诺森布里亚的软脚废物从这里踢出去！,
这扇大门挡不住正面强攻，可一旦强行破门，势必惊动整座村庄。当真要毁了这扇门吗？,
盾女维贡德死于弗里西亚，当时她正挥舞着这杆翼矛对抗身份不明的袭击者。她的丈夫在里伯将它卖给了你，只为筹够回家的盘缠。,
不。我当然办不到。你说得对，当然对，我只是……我们找一处安身之所，已经找了太久太久了。,
说我是什么她的“精灵骑士”那档子破事？那她又封了你个什么头衔，她的仙灵公主？她对这类不着边际的荒唐故事简直着了魔。,
听起来不错——带路吧。,
待到厮杀终结，奥瑟德最后一批残兵四散溃逃之时，横陈的尸骸间，却再也寻不见她的踪影。,
我只是庆幸你们俩都能平安无事。咱们这个家族，应付一桩血仇便已经够受的了。,
若是什么阿猫阿狗都能闯进来，那要这堡垒还有何用？！,
阿斯特丽德抬起一只手，顿了一顿，让自己硬起心肠。,
为什么？,
“瞧见没，他们坐在厅堂山墙之下，用身前的柱子护着自己？”可那柱子在那巨人目光的逼视下崩开裂隙，柱梁随之断为两截。,
你本有机会活着走出这里，如今你没了。,
埃迪丝的衣物,
我们将如瘟疫席卷这座村庄，不留一个活口。,
行，这笔买卖我们接了。我们琢磨着：要是这里头有诈，论跑路我们可都是一把好手。准能全须全尾地摸回这儿来。,
哦，正是如此！真高兴你听进去了！,
我无意冒昧叨扰您这般有身份的人物，但您实在令我着迷。您愿意考虑对我施以援手吗？,
那你自管去吧，寻你的乐子去。我去跟斯卡拉格里姆会合。,
你这般行径，可真给你自己抹黑。连带着你整个家族都脸上无光！,
你最好别那么干。,
此事于你这般人物而言，不过举手之劳。,
内菲娅深深吸了口气。,
咱们且看会发生什么。知道有你挺我，心里踏实多了。,
那年轻的女巫耸耸肩膀，又将注意力转回到面前的食物上。,
确实。嗯，这可真是……哼。,
我对皈依者向来存着一份格外的慈心。你的灵魂曾悬于一片混沌迷惘之境，但如今你已得了救赎。,
我们得立刻折返回去！天晓得归途之上会撞见什么。,
他生得一副苍白面孔。这也难怪，他和他的那伙人个个水米不进。,
[i]不。[/i]不，我决计不会应允。不论你们这群人是不是基督徒，对我而言，你们都是陌生人。,
把那[Player:weapon]收起来吧，亲爱的。一个老太婆还威胁不到你们这种人。,
照这么练下去，指不定真能伤着人呢！,
我们在找你们的德鲁伊。想求见他一面。,
所以啊，那天在码头那边——,
你们又饮下一口，毒药催得英吉玛又是一阵狠咳。等他缓过气来，身子微晃，盯着自己的杯子满眼狐疑，终于明白过来你们干了什么。,
地道里那帮混蛋叫我们搭了个大得吓人的脚手架，却一个子儿都不给。要说跟他们干吧，我们手头又没家伙，走也走不成——本来还指望拿了工钱好离开这鬼地方。,
你最好别挡我的道……,
这就是实打实的铁证，圣雷穆斯才是我们[i]真正[/i]该拜的神！,
千万小心。那边可不太平。,
我琢磨着，要不是有艾迪丝在，我们怕是早就没命了。我倒不是说她做饭的事，是说她那种处变不惊、通晓事理的劲儿。,
她给我的感觉也差不多是那样。,
我会处置的。你那麦芽酒也许该放一放了。,
你这小混账！瞅见那崽子没？！她刚把你的东西顺走了！,
奈芙娅在边上哼了一声。,
没有战士撑腰，咱这盟约就是个空壳子——连颗牙都咬不动。,
找着啥了没？,
我绝不会放这种船进我的港！你既然来求许可，我心领了，但这许可，绝不可能给。你若硬要在这儿靠岸，那船就等着挨打沉底吧。,
他重重地喷出一股气。,
头一眼瞧见你，我就知道你非比寻常。,
她在边上兴风作浪够久了。是时候了结她的纠缠了。,
最后一个哨兵倒了下去，寂静破裂，只剩风在峭壁间尖啸而过。,
他一把扣住你的手腕，攥得紧紧的。,
{献上50份口粮。}我想向海姆达尔献上供品，求他赐我明察秋毫之能。,
不知道。我想你准不知道。,
你们今天干了件仗义的事。有些军团弟兄亲眼瞧见了，都跟我们说了。,
在斯凯恩森林中至少找出三种树木。,
只见他的下巴一下绷紧。,
突破,
我能信你么，冈纳尔？,
他脸上那佯装的疑色消融了，绽开一个暖融融的笑。,
入侵令已取消。我已决意维系与皮克特人的盟约。,
那老妖婆嘶声尖叫，唾沫星子喷得满嘴都是。,
嗐，不值一提。在那边可要机警些。,
那是[Player:Father]的东西，对吧？可他的尸身是你叔叔带回来的。这不可能是他。,
看来诸事当真顺遂。托尔芬已经把新船的龙骨铺好了——是叫[Shipname]来着，对吧？,
他们里头没几个能从这顺顺当当的交接里捞着油水。摸清他们站的哪边，可要紧得很。,
好啊，但愿你已跟诸神求得和解，因为我盼这一刻可是盼得够久了。,
赫罗德盖尔达漫不经心地拧过身去，背对着你俩，久久地望向那座教堂。,
你拔出撒克逊刀的一刹那，盖尔蒙德便跳步后退，两手高举。他眼都没来得及眨一下就犹豫了一瞬，随即转身，一头猛扎进篝火里，嘶声尖叫，求苏尔特收了他去。,
马班眼中，有金光一闪。,
啊，就是我。何来此问？,
让我瞧瞧。,
够了！够了。我认了。,
你打的什么主意？远远地把他们一个个点掉？,
闪避失败,
厅堂里绷得快要断的紧张气氛，登时化作宽慰与欢腾。格蕾妮亲热地一拍你的胳膊。,
