key,原文,译文
Root/MainMenuTitle,Expeditions: Viking,
Root/MainMenu,Main Menu,
Root/PauseMenu,Pause Menu,
Root/NewGame,New Game,
Root/ContinueGame,Continue,
Root/SaveGame,Save Game,
Root/LoadGame,Load Game,
Root/Codex,Codex,
Root/Credits,Credits,
Root/QuitGame,Quit Game,
Root/ReallyQuitGame,Do you really want to quit the game?,
Root/Options,Options,
Root/LoadingTitle,LOADING,
Root/Back,Back,
Root/ChangelogHeadline,Changelog,
Root/SaveLoadButtonLoad,Load,
Root/SaveLoadButtonSave,Save,
Root/SaveLoadButtonCreateNew,Create New,
Root/SaveLoadButtonOverwrite,Overwrite,
Root/SaveLoadPromptOverwriteTitle,Confirm overwrite,
Root/SaveLoadPromptOverwriteDescription,"Are you sure you want to overwrite the save game [color=""orange""][name][/color]?",
Root/SaveLoadPromptLoadUnsavedTitle,Confirm load,
Root/SaveLoadPromptLoadUnsavedDescription,Are you sure you want to load a game? Any unsaved progress will be lost.,
Root/SaveLoadPromptDeleteTitle,Confirm Deletion,
Root/SaveLoadPromptDeleteDescription,Are you sure you want to delete this save?,
Root/SaveLoadPrefixAutosave,Autosave [x]:,
Root/SaveLoadPrefixQuicksave,Quicksave:,
Root/SaveLoadSaveGameGrammar,[prefix][questname] ([firstname]),
Root/SaveLoadNoActiveQuest,No active quest,
Root/SaveLoadPlayerMessageGameSaving,Saving Game...,
Root/SaveLoadPlayerMessageGameSaved,"[color=""green""]Game saved succesfully.[/color]",
Root/SaveLoadPlayerMessageGameLoadFail,"[color=""red""]Game failed to load:[/color] [error]",
Root/SaveLoadCreateNewOrOverwrite,Create a new save game or select one below,
Root/OptionsTitleControls,Controls,
Root/OptionsTitleMisc,Miscellaneous,
Root/OptionsTitleDifficulty,Difficulty,
Root/OptionsTitleVideo,Video,
Root/OptionsTitleAudio,Audio,
Root/OptionsControlsCRPGStyle,CRPG Style,
Root/OptionsControlsRTSStyle,RTS Style,
Root/OptionsControlsSelectInteract,Select &\nInteract,
Root/OptionsControlsSelectPan,Select\n& Pan,
Root/OptionsControlsInteract,Interact,
