key,原文,译文
Root/XStyle,"[color=""lime""]+[x][/color]",
Root/YStyle,[y],
Root/HomesteadRequirement,"[size=""10""][color=""red""][i]Requires [w][/i][/color][/size]\n",
Root/HomesteadRequirementBuilding,[z] rank [y],
Root/HomesteadRequirementResource,[x] [y],
Root/HomesteadUpgradePurchaseTitle,Purchase Upgrade,
Root/HomesteadUpgradePurchase,"[name]\nThis upgrade will take [color=""orange""][time][/color] to complete.\nSelecting slaves to work on this upgrade will reduce the time it takes to complete.",
Root/HomesteadUpgradeRankMaxed,"[color=""orange""]FULLY UPGRADED[/color]",
Root/HomesteadUpgradeBranchUnavailable,"\n[color=""grey""]Branch unavailable.[/color]",
Root/HomesteadUpgradeBuildingInProgress,"[color=""silver""][x][/color] Rank [y] [color=""grey""]in progress[/color]\n[i][color=""silver""][size=""14""][time] remaining.[/size][/color][/i]",
Root/HomesteadUpgradeTimeRemaining,[x] remaining,
Root/HomesteadUpgradeTime,[x],
Root/HomesteadUpgradeBonusOverTime,[x] [y] per week,
Root/HomesteadUpgradeBonus,[x] [y],
Root/HomesteadBranchRankBonus,"[color=""silver""]Rank [x]:[/color] [i][bonus][/i]",
Root/HomesteadBranchRankCost,"[color=""silver""]Cost:[/color] [i][cost] [color=""red""][requirement][/color][/i]",
Root/HomesteadBranchRankTime,"[color=""silver""]Time:[/color] [i][time][/i].",
Root/TooltipHomesteadStatPower,Represents your clan's capacity to muster an army and project your will abroad.,
Root/TooltipHomesteadStatProsperity,"Represents the wealth and happiness of your clan, which reflects on your aptitude as thegn.",
Root/TooltipHomesteadUpgradeButtonProgress,Building in progress. Upgrades unavailable for [time].,
Root/TooltipHomesteadUpgradeButtonResources,You don't have the resources necessary to build this upgrade.,
Root/TooltipHomesteadUpgradeButtonRequiment,This upgrade requires [w],
Root/HomesteadUpgradeLongHouse,Longhouse,
Root/HomesteadUpgradeLongHouseDescription,"Your home, and the seat of your power.",
Root/HomesteadBranchStronghold,Stronghold,
Root/HomesteadBranchStrongholdDescription,Counsel and defence against attackers.,
Root/HomesteadBranchMeadHall,Mead Hall,
Root/HomesteadBranchMeadHallDescription,Feasts and celebration.,
Root/TooltipHomesteadBranchLongHouseRank0,"[size=""16""][name][/size]\nThe [name] is the home your father built. It's sturdy and has lasted for many years, but is in need of repairs. It serves as a gathering place for the clan to celebrate, feast, and counsel with the thegn.",
Root/TooltipHomesteadBranchMeadHallRank1,"[size=""16""][name] Rank 1[/size]\n[requirement][i][x] [y][/i]\nThe hall of the thegn, built mainly to accomodate feasts and celebration.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchMeadHallRank2,"[size=""16""][name] Rank 2[/size]\n[requirement][i][x] [y][/i]\nThe hall of the thegn, built mainly to accomodate feasts and celebration.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchMeadHallRank3,"[size=""16""][name] Rank 3[/size]\n[requirement][i][x] [y][/i]\nThe hall of the thegn, built mainly to accomodate feasts and celebration.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchStrongholdRank1,"[size=""16""][name] Rank 1[/size]\n[requirement][i][x] [y][/i]\nThe fortress of the thegn, built mainly to accomodate counsel and defence against attackers.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchStrongholdRank2,"[size=""16""][name] Rank 2[/size]\n[requirement][i][x] [y][/i]\nThe fortress of the thegn, built mainly to accomodate counsel and defence against attackers.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchStrongholdRank3,"[size=""16""][name] Rank 3[/size]\n[requirement][i][x] [y][/i]\nThe fortress of the thegn, built mainly to accomodate counsel and defence against attackers.\n[color=""silver""]Cost:[/color] [cost]",
Root/HomesteadUpgradeThing,Thing,
Root/HomesteadUpgradeThingDescription,The hearth of your homestead.,
Root/HomesteadBranchFolkmoot,Folkmoot,
Root/HomesteadBranchFolkmootDescription,A steady income through taxes.,
Root/HomesteadBranchMarket,Market,
Root/HomesteadBranchMarketDescription,Attract merchants to your homestead.,
Root/TooltipHomesteadBranchThingRank0,"[size=""16""][name][/size]\nThe [name] is the heart of your homestead, but was never fully utilised under your father's rule. Now is the time to shape it into a proper gathering place for your subjects.",
Root/TooltipHomesteadBranchFolkmootRank1,"[size=""16""][name] Rank 1[/size]\n[requirement][i][x] [y] and [x1] [y1] weekly[/i]\nA place for your people to publicly settle disputes in Holmgang or Envig. Secures a steady income through taxes.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchFolkmootRank2,"[size=""16""][name] Rank 2[/size]\n[requirement][i][x] [y] and [x1] [y1] weekly[/i]\nA place for your people to publicly settle disputes in Holmgang or Envig. Secures a steady income through taxes.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchFolkmootRank3,"[size=""16""][name] Rank 3[/size]\n[requirement][i][x] [y] and [x1] [y1] weekly[/i]\nA place for your people to publicly settle disputes in Holmgang or Envig. Secures a steady income through taxes.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchMarketRank1,"[size=""16""][name] Rank 1[/size]\n[requirement][i][x] [y] and a new trader[/i]\nA place where traders can raise a stall to sell their wares.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchMarketRank2,"[size=""16""][name] Rank 2[/size]\n[requirement][i][x] [y] and a new trader[/i]\nA place where traders can raise a stall to sell their wares.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchMarketRank3,"[size=""16""][name] Rank 3[/size]\n[requirement][i][x] [y] and new traders[/i]\nA place where traders can raise a stall to sell their wares.\n[color=""silver""]Cost:[/color] [cost]",
Root/HomesteadUpgradeMoor,Moor,
Root/HomesteadUpgradeMoorDescription,The centre of the village's religious practices.,
Root/HomesteadBranchHerbalGlade,Herbal Glade,
Root/HomesteadBranchHerbalGladeDescription,Generates Herbs.,
Root/HomesteadBranchSacrificialBog,Sacrificial Bog,
Root/HomesteadBranchSacrificialBogDescription,Appeasing ghosts and gods.,
Root/TooltipHomesteadBranchMoorRank0,"[size=""16""][name][/size]\nThe home of the clan's witch serves as a centre of the village's religious practices. In the old witch's tenure it has gradually fallen into disarray.",
Root/TooltipHomesteadBranchSacrificialBogRank1,"[size=""16""][name] Rank 1[/size]\n[requirement][i][x] [y] and [x1] [y1] weekly[/i]\nDedicated to appeasing the spirits and celebrating the gods.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchSacrificialBogRank2,"[size=""16""][name] Rank 2[/size]\n[requirement][i][x] [y] and [x1] [y1] weekly[/i]\nDedicated to appeasing the spirits and celebrating the gods.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchSacrificialBogRank3,"[size=""16""][name] Rank 3[/size]\n[requirement][i][x] [y] and [x1] [y1] weekly[/i]\nDedicated to appeasing the spirits and celebrating the gods.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchHerbalGladeRank1,"[size=""16""][name] Rank 1[/size]\n[requirement][i][x] [y] and [x1] [y1] weekly[/i]\nGives nourishment to the witch's various remedies that help cure injuries.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchHerbalGladeRank2,"[size=""16""][name] Rank 2[/size]\n[requirement][i][x] [y] and [x1] [y1] weekly[/i]\nGives nourishment to the witch's various remedies that help cure injuries.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchHerbalGladeRank3,"[size=""16""][name] Rank 3[/size]\n[requirement][i][x] [y] and [x1] [y1] weekly[/i]\nGives nourishment to the witch's various remedies that help cure injuries.\n[color=""silver""]Cost:[/color] [cost]",
Root/HomesteadUpgradeBlacksmith,Blacksmith,
Root/HomesteadUpgradeBlacksmithDescription,Crafts weapons and armour.,
Root/HomesteadBranchArmourer,Armourer,
Root/HomesteadBranchArmourerDescription,Crafts weapons and armour. Specialises in armour.,
Root/HomesteadBranchCraftsman,Craftsman,
Root/HomesteadBranchCraftsmanDescription,Crafts weapons and armour. Specialises in weapons.,
Root/TooltipHomesteadBranchBlacksmithRank0,"[size=""16""][name][/size]\nThe [name] crafts weapons and armour. The workshop has been a staple in your village for generations, but is in need of an expansion.",
Root/TooltipHomesteadBranchArmourerRank1,"[size=""16""][name] Rank 1[/size]\n[requirement][i][x] [y] and [x1] [y1] triweekly[/i]\nCrafts armour of higher quality.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchArmourerRank2,"[size=""16""][name] Rank 2[/size]\n[requirement][i][x] [y] and [x1] [y1] fortnightly[/i]\nCrafts armour of higher quality.\n[color=""silver""]Cost:[/color] [cost]",
Root/TooltipHomesteadBranchArmourerRank3,"[size=""16""][name] Rank 3[/size]\n[requirement][i][x] [y] and [x1] [y1] weekly[/i]\nCrafts armour of the highest quality.\n[color=""silver""]Cost:[/color] [cost]",
