key,原文,译文
Root/Contextdefault,Exploration controls,
Root/ContextCamping,Camping controls,
Root/ContextCombat,Combat controls,
Root/ContextDialogue,Dialogue controls,
Root/ContextOverlay,Misc controls,
Root/ContextLoot,Looting controls,
Root/WaitingForInput,...,
Root/ActionActivate,Activate,
Root/ActionAreaMap,Area Map,
Root/ActionInventory,Inventory,
Root/ActionPartyStats,Party Stats,
Root/ActionHomestead,Homestead,
Root/ActionObjectives,Objectives,
Root/ActionCodex,Codex,
Root/ActionFollow,Camera Follow,
Root/ActionUp,Up,
Root/ActionDown,Down,
Root/ActionLeft,Left,
Root/ActionRight,Right,
Root/ActionRotateLeft,Rotate Left,
Root/ActionRotateRight,Rotate Right,
Root/ActionShowInfo,Highlight All,
Root/ActionQuickSave,Quick Save,
Root/ActionQuickLoad,Quick Load,
Root/ActionTrackQuest,Track Quest,
Root/ActionDebugConsole,Debug Console,
Root/ActionScreenshot,Screenshot,
Root/ActionChoice1,Choice 1,
Root/ActionChoice2,Choice 2,
Root/ActionChoice3,Choice 3,
Root/ActionChoice4,Choice 4,
Root/ActionChoice5,Choice 5,
Root/ActionChoice6,Choice 6,
Root/ActionChoice7,Choice 7,
Root/ActionChoice8,Choice 8,
Root/ActionChoice9,Choice 9,
Root/ActionChoice0,Choice 0,
Root/ActionDrop,Drop,
Root/ActionDrag,Drag,
Root/ActionBeginDrag,Begin Drag,
Root/ActionEndDrag,End Drag,
Root/ActionToggleNonLethal,Toggle Non Lethal,
Root/ActionSwitchWeapons,Switch Weapons,
Root/ActionCrouch,Crouch,
Root/ActionInfoPanel,Info Panel,
Root/ActionCycleCharacters,Cycle Characters,
