key,原文,译文
Female/Aife/Base,Aife,
Female/Astridr/Base,Astridr,
Female/Ava/Base,Ava,
Female/Bjørgdis/Base,Bjørgdis,
Female/Dagheidr/Base,Dagheidr,
Female/Eydis/Base,Eydis,
Female/Eyfura/Base,Eyfura,
Female/Finnguala/Base,Finnguala,
Female/Geirbjorg/Base,Geirbjorg,
Female/Grainne/Base,Grainne,
Female/Hjørdis/Base,Hjørdis,
Female/Hliføy/Base,Hliføy,
Female/Hrodgærda/Base,Hrodgærda,
Female/Hulda/Base,Hulda,
Female/Ida/Base,Ida,
Female/Iovita/Base,Iovita,
Female/Kyre/Base,Kyre,
Female/Nefja/Base,Nefja,
Female/Osk/Base,Osk,
Female/Ragnhildr/Base,Ragnhildr,
Female/Røskva/Base,Røskva,
Female/Sigridr/Base,Sigridr,
Female/Suthen/Base,Suthen,
Female/Vifridr/Base,Vifridr,
Female/Aurelia/Base,Aurelia,
Female/Cassia/Base,Cassia,
Female/Caecilia/Base,Caecilia,
Female/Fulvia/Base,Fulvia,
Female/Horatia/Base,Horatia,
Female/Hortensia/Base,Hortensia,
Female/Iunia/Base,Iunia,
Female/Laelia/Base,Laelia,
Female/Laurentina/Base,Laurentina,
Female/Marcellina/Base,Marcellina,
Female/Mariana/Base,Mariana,
Female/Nerva/Base,Nerva,
Female/Petronia/Base,Petronia,
Female/Priscilla/Base,Priscilla,
Female/Quintina/Base,Quintina,
Female/Septima/Base,Septima,
Female/Severina/Base,Severina,
Male/Adalbrunn/Base,Adalbrunn,
Male/Alvaldr/Base,Alvaldr,
Male/Alvaldr/Patronymic,Alvaldar,
Male/Amarr/Base,Amarr,
Male/Are/Base,Are,
Male/Asketill/Base,Asketill,
Male/Asketill/Patronymic,Asketils,
Male/Asleifr/Base,Asleifr,
Male/Asleifr/Patronymic,Asleifs,
Male/Asulfr/Base,Asulfr,
Male/Asulfr/Patronymic,Asulfs,
Male/Baelog/Base,Baelog,
Male/Bildr/Base,Bildr,
Male/Bergr/Base,Bergr,
Male/Caustantin/Base,Caustantin,
Male/Caustantin/Patronymic,Caustantin,
Male/Donncoirce/Base,Donncoirce,
Male/Duiri/Base,Duiri,
Male/Eanbald/Base,Eanbald,
Male/Eikinskjaldi/Base,Eikinskjaldi,
Male/Eikinskjaldi/Patronymic,Eikinskjalda,
Male/Erikr/Base,Erikr,
Male/Erlingr/Base,Erlingr,
Male/Erlingr/Patronymic,Erlings,
Male/Fliri/Base,Fliri,
Male/Frosti/Base,Frosti,
Male/Frosti/Patronymic,Frosta,
Male/Gaius/Base,Gaius,
Male/Gautulfr/Base,Gautulfr,
Male/Gautulfr/Patronymic,Gautulfs,
Male/Gerrig/Base,Gerrig,
Male/Gerrig/Patronymic,Gerrigs,
Male/Gerbrand/Base,Gerbrand,
Male/Gestr/Base,Gestr,
Male/Gnypli/Base,Gnypli,
Male/Grettir/Base,Grettir,
Male/Grimkell/Base,Grimkell,
Male/Grimulfr/Base,Grimulfr,
Male/Grimulfr/Patronymic,Grimulfs,
Male/Grimvardr/Base,Grimvardr,
