key,原文,译文
Root/Localize[@1c35ba90-f377-4740-8d67-7e0f7846cf98],"This pole represents Niflheim, the home ice and cold",
Root/Localize[@5f254b34-a264-460c-81dc-ad385ce115a6],"This pole represents Niflheim, the home ice and cold",
Root/Localize[@15581495-1376-48fe-a73b-ad744635cbb5],"This pole represents Niflheim, the home ice and cold",
Root/Localize[@3ce4f1e0-5a8b-48b1-8034-c81d5f4bc014],Halfdanr's clan has always been on good terms with yours. Much of their trade goes up the river that runs past your homestead.,
Root/Localize[@2314f159-bd08-433c-9377-d1f61dffd0c3],"You can't leave yet, you have important matters to attend to.",
Root/Localize[@87392b7e-5264-46ae-a648-15ee9f4feab3],"LEAVE, you filthridden pox-mongrels! I'll hold this bridge alone against you if I must!",
Root/Localize[@28322048-ca1a-4d12-8072-2aa19b651540],"You can't leave yet, you have important matters to attend to.",
Root/Localize[@6d2722e2-b78a-40ed-8ab7-cb2149369938],Burial Site,
Root/Localize[@1da52ec2-d30c-4680-a970-accba27167ce],Skule Skullcleaver's slightly sinister banner announces Jelling's presence at the funeral.,
Root/Localize[@d0bd5398-f3b8-4d16-8e50-931561e09548],Nefja's Home,
Root/Localize[@658d263c-b103-42e2-8bfc-8177274a33a6],Witch's Hut,
Root/Localize[@a2e82412-82d8-4e6c-ace6-a530863df520],"An unfinished runestone, with only a few grooves carved to contain words.",
Root/Localize[@b59b7715-9646-4137-b4a0-6f2f2f072dd2],"You still remember when your father brought home Holmunn's body. Nefja wasn't allowed to train with you for almost a year afterwards (but she still came, in secret).",
Root/Localize[@300e1630-82de-45a5-94fe-0d2a98b17335],"Your grandfather erected this stone. The runes read: ""Eikinskjaldi made this monument in memory of Svanhvit, the grace of Skjern.""",
Root/Localize[@a9363219-66ac-4b9b-974f-69036723962a],Longhouse,
Root/Localize[@9e2892fd-6eff-4764-98ee-bbc64647aba5],"The banner of Ribe, erected to proclaim Jarl Ragnhildr's presence.",
Root/Localize[@27504ead-2758-4932-92ea-85595dc9bd7c],Eydis' Farm,
Root/Localize[@25d13f34-2355-4c15-9dbc-b332e251ff37],Blacksmith,
Root/Localize[@adff7653-b9be-4786-bb17-4c45effaf715],You can't enter this building right now.,
Root/Localize[@113e3b82-be65-4088-867e-80f916c03d73],Training Ring,
Root/Localize[@a6a6899a-412d-4cf0-9f72-1dbdfe716e4e],"Eydis still keeps the candles burning on Alvaldr's grave, a decade after disease took him.",
Root/Localize[@a20acdb6-78bc-4a24-810c-8da1d4b805b4],"You can't leave yet, you have important matters to attend to.",
Root/Localize[@ca7a5a35-3b71-43c5-a0fe-6f28569cbb7e],Ketill's Home,
Root/Localize[@8ee07e91-21b7-4a1b-8f2c-e57317b476e6],Brana's Stall,
Root/Localize[@5f49209d-866a-4cdf-a5f1-88b684bf9449],The banner of your clan ripples gently in the biting winter breeze.,
Root/Localize[@4913c1f7-b1bc-4632-b570-5f51dbc140d3],Vrangr's Stall,
Root/Localize[@4c04b0f4-5712-4845-a40b-a6f27319b2ab],"The hunters Ljotr and Sigridr live here, where they can be close to the forest. Ketill has a bed in the back.",
Root/Localize[@27ce0a5a-ee57-4f81-acd9-2c55c45a1d01],"This small farm belongs to Eydis, the widow of Alvaldr, who lives here with her two sons.",
Root/Localize[@64da6fee-b97c-40f8-8c94-3933201b8d95],Nefja lives here with her mother Bjørgdis and her twin sister Eyfura. It would be impolite to impose yourself on them at this hour.,
Root/Localize[@96426e0f-6d96-4c6c-aae9-9e3d5e2f3bf4],Left-overs from the feast still bubble merrily over the fireplace. This stew will last for months if you treat it well.,
Root/Localize[@645dcee6-ded4-4f83-a488-a0b3bc5e9f06],"The first sword your father forged. It's not a great weapon, but it's not a bad first effort.",
Root/Localize[@96d2c65e-bda7-4371-b372-b623fc89dea9],Three days later...,
Root/Localize[@659dfe04-0f29-4406-8129-5a887cdcb001],"A rabbit stew bubbles over the firepit, spreading a delicious smell throughout the longhouse.",
Root/Localize[@5829e507-3283-49e7-9310-ccd8147e28a7],Aid me Odinn   in my effort\nTo bind the struggles   of a bygone time\nAs glimmering light   on glass,
