key,原文,译文
Root/AbilityStyle,"+[color=""orange""][NameAbility][/color]",
Root/AbilityRequirementSP,"[size=""12""][color=""red""][i]You must spend [amount] SP to upgrade this skill further[/i][/color][/size]",
Root/AbilityActivated,Activated,
Root/TooltipCombatTrapNotDisarmable,"\n[color=""red""][i]The trap is not disarmable.[/i][/color]",
Root/TooltipCombatRequirementFlanking,"\n[color=""red""][i]Character must be flanking target.[/i][/color]",
Root/TooltipCombatRequirementStraightLine,"\n[color=""red""][i]Target and character must be on a straight line.[/i][/color]",
Root/TooltipCombatRequirementIsnotDisarmed,"\n[color=""red""][i]Can't use weapon abilities while Disarmed.[/i][/color]",
Root/TooltipCombatRequirementDistanceClose,"\n[color=""red""][i]Target is too close.[/i][/color]",
Root/TooltipCombatRequirementDistanceFar,"\n[color=""red""][i]Target is not within range.[/i][/color]",
Root/TooltipCombatRequirementWeaponCharacterMelee,"\n[color=""red""][i]You're not wielding a melee weapon.[/i][/color]",
Root/TooltipCombatRequirementWeaponCharacterRanged,"\n[color=""red""][i]You're not wielding a ranged weapon.[/i][/color]",
Root/TooltipCombatRequirementShieldDamaged,"\n[color=""red""][i]Your shield has not sustained damage.[/i][/color]",
Root/TooltipCombatRequirementShieldAbsorption,"\n[color=""red""][i]Your shield cannot absorb any more damage.[/i][/color]",
Root/TooltipCombatRequirementWeaponCharacter,"\n[color=""red""][i]You're not wielding the right equipment.[/i][/color]",
Root/TooltipCombatRequirementWeaponTarget,"\n[color=""red""][i]Target is not wielding the right equipment.[/i][/color]",
Root/TooltipCombatRequirementNoHelmetTarget,"\n[color=""red""][i]Target is wearing a helmet.[/i][/color]",
Root/TooltipCombatRequirementFreeHex,"\n[color=""red""][i]Not enough space.[/i][/color]",
Root/TooltipCombatRequirementCharges,"\n[color=""red""][i]Ability has no more charges.[/i][/color]",
Root/TooltipCombatRequirementBenefitCharacter,"\n[color=""red""][i]Your character will not benefit from [x].[/i][/color]",
Root/TooltipCombatRequirementBenefitTarget,"\n[color=""red""][i]Target will not benefit from [x].[/i][/color]",
Root/TooltipCombatRequirementNotKnockeddown,"\n[color=""red""][i]Can't use [x] on a knocked down enemies.[/i][/color]",
Root/TooltipCombatRequirementHuman,"\n[color=""red""][i]Can't use [x] on beasts.[/i][/color]",
Root/TooltipCombatRequirementHostile,"\n[color=""red""][i]Can't use [x] on a friendly unit.[/i][/color]",
Root/TooltipCombatRequirementFriendly,"\n[color=""red""][i]Can't use [x] on a hostile unit.[/i][/color]",
Root/TooltipCombatRequirementOtherCharacter,"\n[color=""red""][i]Can't use [x] on yourself.[/i][/color]",
Root/TooltipCombatRequirementAction,"\n[color=""red""][i]Action already spent.[/i][/color]",
Root/TooltipCombatRequirementActivated,"\n[color=""red""][i]Ability already activated.[/i][/color]",
Root/TooltipCombatRequirementLOS,"\n[color=""red""][i]No line of sight to target.[/i][/color]",
Root/TooltipCombatRequirementCharacterNotPoisoned,"\n[color=""red""][i]Character is not poisoned.[/i][/color]",
Root/TooltipCombatRequirementCharacterNotImmobilized,"\n[color=""red""][i]Character is not immobilised.[/i][/color]",
Root/TooltipCombatRequirementCharacterAlreadyImmobilized,"\n[color=""red""][i]Character is already immobilised.[/i][/color]",
Root/TooltipCombatRequirementItemUsed,"\n[color=""red""][i]Character has already used this item.[/i][/color]",
Root/TooltipCombatChargesSingular,"\n[size=""12""][x] charge left.[/size]",
Root/TooltipCombatChargesPlural,"\n[size=""12""][x] charges left.[/size]",
Root/TooltipCombatAbility,[NameAbility][action][charges][requirement]\n\n[DescriptionAbility],
Root/TooltipSkillSelection,"[size=""16""][NameSkill][/size]\n[requirement][DescriptionSkill]",
Root/AbilityShieldHook,Shield Hook,
Root/AbilityShieldHookDescription,"Pull the opponent's shield away, making them [StatusEffect].",
Root/AbilityCleave,Cleave,
Root/AbilityCleaveDescription,"Make an attack that is always blocked, but any damage not absorbed by the shield is dealt to the target's hitpoints.",
Root/AbilityWeaponHook,Weapon Hook,
Root/AbilityWeaponHookDescription,"Uses the axe to pull the opponent's weapon away, adding the status effect [StatusEffect].",
Root/TooltipCombatAxeShieldHook,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatAxeCleave,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatAxeWeaponHook,[NameAbility][action]\n[DescriptionAbility],
Root/SkillAxe,Axe,
Root/SkillAxeDescription,"Governed by [color=""lightblue""]Strength[/color]. One-handed melee. Medium Damage, medium Critical.",
Root/SkillAxeRank1,"[color=""orange""]+[x][/color] Damage",
Root/SkillAxeRank2,"[color=""orange""]+[x][/color] Damage",
Root/SkillAxeRank3,"[color=""orange""]+[x][/color] Damage",
Root/SkillAxeRank4,"[color=""orange""]+[x][/color] Damage",
Root/SkillAxeRank5,"[color=""orange""]+[x][/color] Damage",
Root/TooltipSkillAxeRank1,"[size=""16""][NameSkill] Rank 1[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillAxeRank2,"[size=""16""][NameSkill] Rank 2[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillAxeRank3,"[size=""16""][NameSkill] Rank 3[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillAxeRank4,"[size=""16""][NameSkill] Rank 4[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillAxeRank5,"[size=""16""][NameSkill] Rank 5[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityQuickShot,Quick Shot,
Root/AbilityQuickShotDescription,Make 2 ranged attacks at -30% accuracy each.,
Root/AbilitySignalArrow,Ranging Shot,
Root/AbilitySignalArrowDescription,All enemies adjacent to the target hex get the status effect [StatusEffect].,
Root/AbilityAimedShot,Aimed Shot,
Root/AbilityAimedShotDescription,Negates distance penalties to hit chance at a cost of a 40% Damage penalty.,
Root/AbilityFireArrow,Fire Arrow,
Root/AbilityFireArrowDescription,"Deals normal ranged damage but also sets the target hex on fire, applying the status effect [StatusEffect] to anyone in the hex. Can also target flammable objects such as haystacks.",
Root/AbilityHailstorm,Hailstorm,
Root/AbilityHailstormDescription,"Performs an Area of Effect attack in 3 random hexes in and around the target hex, at 75% Damage each.",
Root/TooltipCombatBowQuickShot,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatBowSignalArrow,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatBowAimedShot,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatBowFireArrow,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatBowHailstorm,[NameAbility][action]\n[DescriptionAbility],
Root/SkillBow,Bow,
Root/SkillBowDescription,"Governed by [color=""lightblue""]Perception[/color]. Two-handed ranged. High Damage, medium Critical.",
Root/SkillBowRank1,"[color=""orange""]+[x][/color] Accuracy and Damage",
Root/SkillBowRank2,"[color=""orange""]+[x][/color] Accuracy and Damage",
Root/SkillBowRank3,"[color=""orange""]+[x][/color] Accuracy and Damage",
Root/SkillBowRank4,"[color=""orange""]+[x][/color] Accuracy and Damage",
Root/SkillBowRank5,"[color=""orange""]+[x][/color] Accuracy and Damage",
Root/TooltipSkillBowRank1,"[size=""16""][NameSkill] Rank 1[/size]\n[requirement][NameSkill] [color=""lightblue""]Accuracy[/color] and [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillBowRank2,"[size=""16""][NameSkill] Rank 2[/size]\n[requirement][NameSkill] [color=""lightblue""]Accuracy[/color] and [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillBowRank3,"[size=""16""][NameSkill] Rank 3[/size]\n[requirement][NameSkill] [color=""lightblue""]Accuracy[/color] and [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillBowRank4,"[size=""16""][NameSkill] Rank 4[/size]\n[requirement][NameSkill] [color=""lightblue""]Accuracy[/color] and [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillBowRank5,"[size=""16""][NameSkill] Rank 5[/size]\n[requirement][NameSkill] [color=""lightblue""]Accuracy[/color] and [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityRecklessStrike,Reckless Strike,
Root/AbilityRecklessStrikeDescription,"Deals 25% extra damage, but makes you [StatusEffect].",
Root/AbilityPull,Pull,
Root/AbilityPullDescription,Hooks the target's neck with the axe and pulls them into melee range.,
Root/AbilitySwipe,Swipe,
Root/AbilitySwipeDescription,"Performs a wide-arced attack with no Armour Piercing Damage that simultaneously hits the target and any characters standing on either side of the target, but which cannot damage shields.",
Root/TooltipCombatDaneAxePull,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatDaneAxeFootHook,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatDaneAxeSwipe,[NameAbility][action]\n[DescriptionAbility],
Root/SkillDaneAxe,Dane Axe,
Root/SkillDaneAxeDescription,"Governed by [color=""lightblue""]Strength[/color]. Two-handed melee. Two-hex reach, high Damage, medium Critical.",
Root/SkillDaneAxeRank1,"[color=""orange""]+[x][/color] Damage",
Root/SkillDaneAxeRank2,"[color=""orange""]+[x][/color] Damage",
Root/SkillDaneAxeRank3,"[color=""orange""]+[x][/color] Damage",
Root/SkillDaneAxeRank4,"[color=""orange""]+[x][/color] Damage",
Root/SkillDaneAxeRank5,"[color=""orange""]+[x][/color] Damage",
Root/TooltipSkillDaneAxeRank1,"[size=""16""][NameSkill] Rank 1[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillDaneAxeRank2,"[size=""16""][NameSkill] Rank 2[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillDaneAxeRank3,"[size=""16""][NameSkill] Rank 3[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/TooltipSkillDaneAxeRank4,"[size=""16""][NameSkill] Rank 4[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].",
Root/TooltipSkillDaneAxeRank5,"[size=""16""][NameSkill] Rank 5[/size]\n[requirement][NameSkill] [color=""lightblue""]Base Damage[/color] increased by [color=""lime""][x][/color].\n\n[color=""orange""][NameAbility][/color][action]\n[DescriptionAbility]",
Root/AbilityDeathblow,Deathblow,
Root/AbilityDeathblowDescription,Deals double damage but can only target immobilised enemies.,
Root/AbilityFlurry,Flurry,
Root/AbilityFlurryDescription,"Makes 2 attacks at half damage, on the same target or on 2 different targets, that each attempts to cause [StatusEffect].",
Root/AbilitySlice,Slice,
Root/AbilitySliceDescription,Makes a free attack at half damage.,
Root/TooltipCombatKnifeBackstab,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatKnifeFlurry,[NameAbility][action]\n[DescriptionAbility],
Root/TooltipCombatKnifeSlice,[NameAbility][action]\n[DescriptionAbility],
Root/SkillKnife,Knife,
Root/SkillKnifeDescription,"Governed by [color=""lightblue""]Finesse[/color]. One-handed melee. Low Damage, very high Critical.",
Root/SkillKnifeRank1,"[color=""orange""]+[x][/color] Damage",
Root/SkillKnifeRank2,"[color=""orange""]+[x][/color] Damage",
Root/SkillKnifeRank3,"[color=""orange""]+[x][/color] Damage",
Root/SkillKnifeRank4,"[color=""orange""]+[x][/color] Damage",
