key,原文,译文
Root/TutorialStepCount,"[color=""grey""][x] out of [y][/color]",
Root/TutorialHeadlineExploration,"[size=""24""]Exploration[/size]",
Root/TutorialHeadlineCamping,"[size=""24""]Camping[/size]",
Root/TutorialHeadlineRepairing,"[size=""24""]Repairing[/size]",
Root/TutorialHeadlineTinkering,"[size=""24""]Tinkering[/size]",
Root/TutorialHeadlineHomestead,"[size=""24""]Homestead[/size]",
Root/TutorialHeadlineEquipment,"[size=""24""]Equipment[/size]",
Root/TutorialHeadlineSkills,"[size=""24""]Skills[/size]",
Root/ExplorationDialogue1,"Characters with [color=""yellow""]golden nameplates[/color] have dialogue for you. Click on them to talk to them.",
Root/ExplorationDialogue1Rurik,Rurik,
Root/ExplorationDialogue2,"The icon over your chair is the [color=""yellow""]quest marker[/color]. You can turn these off in the game settings for a more independent play experience. Gold quest markers indicate mandatory objectives.",
Root/ExplorationDialogue3,"Talking to the other thegns is not mandatory, marked by the silver quest markers, which indicate optional objectives. When you want to move on, just take a seat by clicking on your chair.",
Root/ExplorationInventoryOpen1,"Now that you've taken your weapons, it's time to equip them. Click on the [color=""yellow""]Inventory[/color] icon to open up the inventory and equip your items.",
Root/ExplorationInventory1,All unequipped items in your possession show up here. Use the buttons above the scroll window to filter which item types you want to see.,
Root/ExplorationInventory2,Drag items into these slots to equip them. Specific items go into specific slots. You can also double-click an item to automatically equip it in the right slot.,
Root/ExplorationInventory3,Each character can carry two sets of weapons and can freely switch between them in combat. Click this button to select which weapons are your primary set.,
Root/ExplorationInventoryCharacter1,"The inventory also displays a few extra useful pieces of information about each character. Here, you can see the character's primary stats, as well as their current morale and whether they have any injuries.",
Root/ExplorationCharacter1,"This screen shows the primary stats, derived stats, and skills of your characters. This is where you'll spend points to buy skills when you earn them.",
Root/ExplorationCharacter2,"All these stats are derived from your primary stats and modified by your skills, your equipment, and any lingering status effects. Hover over each of them to read about where they're coming from and what they do.",
Root/ExplorationCharacter3,Use these buttons to switch between the five different categories of skills. Click on a skill to see what it does and whether it unlocks any abilities. Icons are greyed out if you don't meet the skill requirements.,
Root/ExplorationCharacterSkill1,"To upgrade a skill, click on its icon and then press this button if you have enough skill points. To the left of the button, you can see how many unused points you have, in addition to your total.",
Root/ExplorationCharacterSkill2,"In order to upgrade a skill past the 2nd rank, you must spend a total of 100 SP or more. The cap is 175 SP for rank 4 and 250 for rank 5. Some skills have further requirements based on primary stats or character nationality.",
Root/ExplorationCharacterSkill3,Remember to check this screen once in a while to see if you've earned enough points to unlock a new skill that you want. Skill points are exclusively earned from completing quests and from finding cairns.,
Root/ExplorationHomestead1,This screen allows you to schedule upgrades for your homestead. Scroll down the list and mouse-over each icon to see what that upgrade does.,
Root/ExplorationHomestead2,"Some upgrades have multiple paths that are mutually exclusive. The first time you upgrade your longhouse, for example, you must choose between a Mead Hall and a Stronghold. Once you decide, you can never change your mind.",
